epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2182,0.51456,0.46256,0.95094,0.99745,1,0.995,0.96057,0.26872,0.34531,0.81173,8e-05,8e-05,8e-05
2,8.24608,0.46712,0.45111,0.93647,0.99732,1,0.995,0.9561,0.26903,0.33303,0.80966,0.000178218,0.000178218,0.000178218
3,12.1408,0.4364,0.39457,0.88975,0.99694,1,0.995,0.98408,0.23682,0.31704,0.80738,0.000274456,0.000274456,0.000274456
4,16.1154,0.41951,0.3989,0.87454,0.99727,1,0.995,0.99036,0.25247,0.29827,0.80808,0.000368714,0.000368714,0.000368714
5,19.9355,0.44049,0.40344,0.88542,0.99683,1,0.995,0.97944,0.26637,0.31076,0.80915,0.000460992,0.000460992,0.000460992
6,23.5838,0.45062,0.42633,0.91521,0.99702,1,0.995,0.98182,0.25037,0.29529,0.80767,0.00055129,0.00055129,0.00055129
7,27.2615,0.41516,0.38812,0.89777,0.99785,1,0.995,0.95537,0.27946,0.28864,0.81116,0.000639608,0.000639608,0.000639608
8,30.9362,0.42806,0.388,0.84807,0.99797,1,0.995,0.98186,0.25582,0.28878,0.80764,0.000725946,0.000725946,0.000725946
9,34.5407,0.43321,0.40176,0.86919,0.998,1,0.995,0.96152,0.27619,0.27625,0.80735,0.000810304,0.000810304,0.000810304
10,38.1559,0.45813,0.40896,0.9047,0.99795,1,0.995,0.94905,0.31989,0.29424,0.81013,0.000892682,0.000892682,0.000892682
11,41.7581,0.47165,0.39569,0.87917,0.99782,1,0.995,0.94767,0.31986,0.31139,0.81663,0.00097308,0.00097308,0.00097308
12,45.3794,0.47189,0.42792,0.88404,0.99769,1,0.995,0.9521,0.29162,0.31318,0.81428,0.0010515,0.0010515,0.0010515
13,49.0844,0.41639,0.39469,0.86746,0.99784,1,0.995,0.94637,0.34779,0.32078,0.82398,0.00112794,0.00112794,0.00112794
14,52.8084,0.49461,0.43108,0.88677,0.99798,1,0.995,0.95205,0.30114,0.32177,0.81893,0.00120239,0.00120239,0.00120239
15,56.4712,0.46485,0.42218,0.88503,0.99791,1,0.995,0.9621,0.32861,0.28957,0.82413,0.00127487,0.00127487,0.00127487
16,60.1633,0.54138,0.44634,0.9165,0.99792,1,0.995,0.94801,0.33478,0.29515,0.82142,0.00134537,0.00134537,0.00134537
17,63.8004,0.49209,0.43846,0.89684,0.99778,1,0.995,0.96835,0.29895,0.29974,0.81644,0.00141389,0.00141389,0.00141389
18,67.4043,0.45467,0.41513,0.89604,0.99788,1,0.995,0.95371,0.32779,0.29746,0.81672,0.00148043,0.00148043,0.00148043
19,71.2027,0.46442,0.41169,0.87434,0.99761,1,0.995,0.93041,0.38566,0.32638,0.82717,0.00154498,0.00154498,0.00154498
20,74.891,0.51405,0.44655,0.93067,0.99801,1,0.995,0.93511,0.34523,0.35726,0.8211,0.00160756,0.00160756,0.00160756
21,78.6207,0.52323,0.44817,0.91301,0.99772,1,0.995,0.96778,0.31249,0.33297,0.81098,0.001604,0.001604,0.001604
22,82.2974,0.45862,0.44036,0.88305,0.99753,1,0.995,0.96756,0.29239,0.2941,0.81143,0.0015842,0.0015842,0.0015842
23,85.9876,0.46923,0.42688,0.88072,0.99784,1,0.995,0.9684,0.30203,0.30258,0.81453,0.0015644,0.0015644,0.0015644
24,89.6444,0.49463,0.42576,0.90622,0.99794,1,0.995,0.96539,0.29363,0.30952,0.81093,0.0015446,0.0015446,0.0015446
